
-----------------------------------------------------------------

Namespace(epochs=100, num_users=100, frac=0.05, minibatch=0, lr=0.1, lr_decay=0.995, momentum=0.5, dataset='mnist', iid='false', num_classes=10, gpu=0, dp_mechanism='Laplace', dp_epsilon=100.0, dp_epsilon_global=0, dp_clip=200.0, runs=10)

 51,67.85
 52,69.55
 53,67.51
 54,68.77
 55,68.86
 56,69.75
 57,70.92
 58,71.68
 59,72.93
 60,72.52
 61,73.15
 62,72.59
 63,72.13
 64,72.71
 65,72.12
 66,72.35
 67,72.69
 68,73.44
 69,73.50
 70,74.48
 71,74.30
 72,74.68
 73,74.40
 74,74.68
 75,74.42
 76,74.97
 77,75.26
 78,76.17
 79,75.63
 80,76.48
 81,76.71
 82,76.54
 83,77.02
 84,77.16
 85,77.94
 86,78.56
 87,78.18
 88,78.77
 89,78.92
 90,79.34
 91,79.66
 92,80.15
 93,79.58
 94,80.00
 95,80.27
 96,79.73
 97,80.00
 98,80.83
 99,80.58
Run 6 Of 10 Complete
  0,11.44
  1,13.19
  2,15.60
  3,17.05
  4,18.81
  5,20.19
  6,21.51
  7,21.73
  8,22.05
  9,22.71
 10,21.46
 11,20.68
 12,23.52
 13,26.36
 14,26.26
 15,29.19
 16,30.94
 17,30.18
 18,29.94
 19,31.35
 20,35.10
 21,35.94
 22,36.78
 23,38.64
 24,40.91
 25,42.90
 26,43.42
 27,43.41
 28,44.33
 29,47.19
 30,46.56
 31,48.22
 32,50.28
 33,50.31
 34,50.96
 35,51.51
 36,52.90
 37,54.61
 38,55.94
 39,55.67
 40,58.00
 41,58.42
 42,59.14
 43,59.33
 44,59.43
 45,59.09
 46,59.37
 47,60.99
 48,61.86
 49,62.38
 50,62.51
 51,61.70
 52,61.91
 53,62.68
 54,63.67
 55,64.67
 56,65.07
 57,65.75
 58,66.62
 59,66.70
 60,68.19
 61,67.61
 62,68.59
 63,68.54
 64,68.96
 65,68.90
 66,68.62
 67,69.21
 68,69.03
 69,69.98
 70,70.65
 71,70.38
 72,70.38
 73,70.77
 74,70.91
 75,71.94
 76,72.03
 77,72.05
 78,73.07
 79,73.00
 80,73.41
 81,72.82
 82,73.71
 83,73.69
 84,73.67
 85,74.17
 86,74.77
 87,75.12
 88,74.51
 89,74.92
 90,75.19
 91,75.12
 92,75.42
 93,74.96
 94,75.04
 95,74.67
 96,75.50
 97,75.69
 98,76.06
 99,76.50
Run 7 Of 10 Complete
  0,10.48
  1,11.11
  2,13.21
  3,14.41
  4,17.25
  5,19.39
  6,22.98
  7,24.76
  8,25.89
  9,27.20
 10,28.91
 11,30.83
 12,33.28
 13,35.65
 14,37.77
 15,38.12
 16,41.19
 17,42.85
 18,44.57
 19,45.95
 20,46.37
 21,48.14
 22,51.05
 23,49.98
 24,48.69
 25,49.44
 26,51.94
 27,52.78
 28,54.19
 29,56.33
 30,56.01
 31,57.14
 32,58.80
 33,60.09
 34,62.22
 35,63.80
 36,63.83
 37,62.14
 38,65.72
 39,66.29
 40,66.14
 41,67.69
 42,68.15
 43,68.94
 44,68.24
 45,68.82
 46,69.26
 47,67.59
